respid,cty,AsylumHome,IdeoScale,Female,Age,Employed,EISCED,IncomeDecile
R_86xriaEHXKNpp0V,Spain,-1,6,1,60,1,7,9
R_a5iGmqZCT8Bp44l,Spain,1,5,0,56,1,7,9
R_9TAk2DFaotVUMmx,Spain,-2,7,0,35,1,4,4
R_0eKd30eUwYv87JP,Spain,-1,5,1,32,1,6,4
R_0OkSOOk7fTcPQFv,Spain,1,2,0,52,1,5,10
R_0OCY8zHk7bwYXJj,Spain,0,5,1,42,1,6,8
R_2rEcdlnEJPj3YuV,Spain,-1,2,0,52,1,3,9
R_b89CRVtlOyn5aC1,Spain,0,5,1,29,1,7,9
R_dpd79eekQFArWdf,Spain,1,0,1,47,1,6,6
R_73Zwx8Etr2zMp1j,Spain,-2,0,1,55,1,2,4
R_blM0Tql23XzPdpH,Spain,0,2,1,31,1,7,9
R_bf5Ux1YV3Soz9yt,Spain,0,4,1,47,1,5,2
R_41r5yDXoRqqFGux,Spain,1,3,0,31,1,5,7
R_bgw0DEL9AaHsLrf,Spain,1,3,1,37,0,5,1
R_e8W4BDTuK8iFPKt,Spain,2,2,1,40,0,7,4
R_5pyoaI8Z18pk36R,Spain,0,3,1,47,0,1,2
R_dnXtjxSaDx0OeBD,Spain,0,8,0,51,1,6,9
R_7U2xCN6qbgbnUZ7,Spain,1,0,0,58,1,6,9
R_bO6of8JlpHnexXT,Spain,2,6,0,55,1,2,5
R_88R2yvsf6u9pKaV,Spain,1,2,0,40,1,3,3
R_08x0a5nUS8q05G5,Spain,0,3,0,35,0,7,4
R_380bE7QOecrFStv,Spain,-2,3,1,40,1,5,7
R_bDU9Sopn2RS6l25,Spain,-1,5,1,45,1,3,4
R_41m4DOcSirdTKuN,Spain,0,5,0,28,1,7,3
R_8iBt4XsyBIt3Hdr,Spain,0,1,1,53,1,2,2
R_ewWRpeQ2qh1qjXL,Spain,1,3,0,42,1,7,7
R_0p8SC0iOp7ia2Sp,Spain,0,7,1,45,1,7,4
R_bD7QMacOUksSbI1,Spain,0,3,1,39,1,5,10
R_9LHlw0YBfCZXW8l,Spain,1,2,1,62,0,2,6
R_5AX7Er5nIdUGL6B,Spain,2,6,0,42,1,7,10
R_4YkwopA8HY4LKQd,Spain,-1,5,1,48,1,4,5
R_8o8P41INbqXtRUV,Spain,0,6,0,25,0,5,3
R_25IozR2aT7vrVat,Spain,1,4,0,31,1,6,9
R_aaFkSDYgptrirdj,Spain,-2,6,0,52,1,7,9
R_eKX960BcKVf8nJj,Spain,1,7,0,39,1,3,4
R_bKHDbqTviwbs3LD,Spain,-1,6,1,38,1,7,5
R_cuQiwa5Dei7AAnP,Spain,1,6,1,47,0,5,4
R_8k4o4VtWrpKZFtz,Spain,-1,2,0,39,1,3,2
R_1yOLnMEYEX9kxOR,Spain,1,5,0,51,1,5,5
R_9YO6iBjgxdXsbjL,Spain,-2,2,0,47,1,5,1
R_2cbD39ESRyR47NX,Spain,1,10,0,26,1,1,2
R_6sXihZSIWZIPFnD,Spain,1,2,0,36,1,7,8
R_0kzEZAYlaSB2qix,Spain,0,2,1,41,0,2,5
R_0dYVPKzsN22A8y9,Spain,0,3,1,47,1,7,2
R_4Njbt2Hln3BB2OV,Spain,0,1,1,48,0,7,5
R_0kVISVQz9WR9dvD,Spain,-2,4,1,26,1,6,4
R_8emOP9VySe5GM3H,Spain,-1,4,1,45,0,7,1
R_0IA0pf0iBHt9Iq1,Spain,2,0,0,44,1,2,3
R_0uLrHJ9anko4IBv,Spain,-1,2,1,51,0,2,1
R_eRoOzMpjVrvbrFj,Spain,0,3,0,42,1,5,6
R_5jzZxFvUCXiaqNL,Spain,2,5,1,31,0,7,4
R_cSyv3WUcNIEXFGJ,Spain,-2,5,1,59,1,7,9
R_24c4gqIzQOTksN7,Spain,-1,0,1,40,1,2,2
R_eznNTkaYnUgxGND,Spain,0,5,1,68,0,2,6
R_6gpoLXHztxys5mt,Spain,0,3,1,56,1,6,8
R_7VyxBxH18iVGtil,Spain,0,4,0,55,1,6,9
R_bpiockYJ4S6nSSh,Spain,-1,4,0,49,1,1,1
R_cMkCeWhEieRrnMN,Spain,1,6,1,64,0,7,8
R_5pyAGt5vXXCWmQ5,Spain,0,5,0,41,1,5,2
R_dnliJ7lQAc2DbIF,Spain,0,1,1,47,0,3,4
R_8crf13y90GPVhad,Spain,0,5,1,39,0,2,2
R_bJ9p5APWzKPDyER,Spain,-1,5,1,47,0,6,3
